0,1,2
0.029225579,2.3826232,-0.16545488
1.0408555,-0.9197231,-1.0701418
1.2500693,-1.0693885,-1.4527583
0.4842682,-0.41167054,0.18304601
-0.12904947,1.4062803,-0.32602158
0.05254827,0.23760942,-0.0388174
-0.04330989,-1.7765728,0.039412525
0.008395326,-1.8227003,0.104246855
-0.052207146,1.1665968,0.36049238
0.029843913,1.6211853,-1.4386005
-0.24085267,1.4132034,0.018983215
-0.4146728,0.8436393,-0.55180323
0.09459427,-0.88927305,0.2536027
0.036627006,-0.8760339,0.15298834
1.1106833,3.200443,-1.0670946
1.3987069,-6.094409,-0.9796441
0.26426274,0.09907161,0.2684245
0.55606186,-1.1193979,-1.2200457
0.6735369,-1.6825002,-0.043640926
-0.8291278,1.8677485,0.16194406
0.7154148,-0.44144288,0.33611995
0.7709155,3.0552895,-1.0975149
-0.62253314,0.34648433,0.7768529
0.22860336,-2.0156105,-0.186165
-0.1336348,1.7433985,-0.19294132
1.0747058,-0.52645147,-1.8245413
0.7113788,-0.24374725,-1.3850887
-0.22414988,-3.7254112,-0.0974118
0.5712471,-0.3232526,-0.023040218
0.9434815,-2.562213,0.48265585
-0.0500198,-3.3981674,0.16561925
0.73849326,0.36714968,-0.97791654
-0.28295282,0.3527317,-1.4775435
-0.35169685,-0.5769732,0.42852882
0.54819477,-2.3461452,-0.048803218
1.2414025,-1.8006697,0.2651968
0.16704996,-0.7408686,-0.056227617
0.052869678,1.8961021,-0.15542065
-0.4554665,0.8245793,0.35498533
0.66742945,-1.4811414,-0.897409
-0.297484,1.2811723,-0.02067152
0.09166975,2.158613,-0.18021335
-0.2838671,1.0952466,-0.32899144
0.8511393,0.24159485,-1.6647576
0.7359924,-1.0733422,-1.6243901
0.45167178,0.13779269,-0.6367736
0.4359502,1.1582013,-1.0776149
-0.8083766,0.47439528,1.1569545
0.96177495,-1.0501909,0.010312124
0.6892276,-1.1393797,-0.38702437
