0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0.0,0.0,0.0,-0.33755994,-0.12433161,-0.16528806,0.0,-0.0,0.0,0.16506559,-0.0,0.0,-0.0,-0.16658351,0.0,-0.15411836,-0.0,0.0,0.0,-0.0,-0.0,-0.17620285,-0.28945437,-0.0,-0.0,0.0,0.0,-0.1814072,0.0,0.0,-0.13277493,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.13659965,-0.2035218,-0.21200916,-0.29586315,-0.2185363,0.0,-0.23929836,0.0,0.0,-0.12743637,0.0,0.0,-0.1441827,-0.18203184,0.0,-0.0,0.0,-0.12433031,0.0
0.0,-0.0,-0.47081417,0.0,0.0,-1.0122571,-0.0,-0.0,0.0,-0.118803516,-1.6066588,-0.33326527,-2.0306027,-0.24314383,-0.3596284,-0.0,-0.19142935,-0.0,-0.1463192,-0.4286315,0.0015656091,-0.24962448,0.0,1.026109,-0.0,-0.0,-0.0,0.0,-0.22765532,-0.0,-0.030662796,-0.37376714,-0.0,0.0,-0.8855047,-0.14765163,0.0,-0.0,-0.77253515,-0.15197814,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.32264218,-0.0,0.0,-2.1121292,0.0,-0.28033856,0.0,-0.18537639,-0.0,-0.30662128,-0.645347,-0.11872577,-0.2890811,-0.13987264,-0.29565424,-0.3298059,-0.45831648,0.0
0.30315608,-0.20004752,0.70978916,0.4283244,0.0,-1.1715143,-0.0,-0.19821714,-0.0,0.0,0.20830408,-0.0,-0.0,-0.18533663,-0.0,0.0,-0.0,-0.0,-0.0,-0.17845894,-0.0,0.0,0.0,-0.0,-0.18738975,-0.1356326,-0.1560366,-0.0,-0.119878374,0.0,-0.0,-0.13831569,-0.14763318,-0.0,-0.23832127,-0.0,-0.62125134,-0.21087345,-0.50351936,-0.0,0.0,0.0,-0.0,-0.0,-0.15933943,-0.15554646,-0.15701656,-0.0,-0.15920755,-0.5071853,0.0,0.0,0.0,0.0,0.0,0.0,-0.3940357,-0.14750673,0.13841388,-0.0,-0.4053909,0.0,-0.16566673,0.0
0.0,-0.0,0.0,0.0,-0.16481769,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.14403926,-0.13198408,0.12549944,-0.0,-0.23638994,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.08174057,-0.0,0.0,0.0,0.0,-0.1326815,0.0,0.0,0.0,-0.16244534,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.1553819,0.0,-0.12475395,-0.0,0.1426305,0.0,0.0,0.0,0.0,0.0,-0.17298757,-0.0,0.0,-0.0,-0.19859575,-0.14343506,0.14921184,-0.0,-0.0,-0.20480795,-0.0,0.0,-0.0,0.0
0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.12971345,-1.3583766,-0.16473733,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.33383968,-0.0,0.0,-0.30765238,0.0,0.0,0.87389535,-0.0,-0.15690304,0.0,0.0,-0.14881873,0.0,-0.0,0.13647585,-0.26772258,-0.0,-0.0,0.0,-0.0,0.0,-0.21147051,-0.0,0.0,0.0,0.0,-0.0,-0.20357627,0.0,-0.21088813,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.18487072,0.0,-0.0,-0.0,0.18337442,-0.13030086,0.0,0.0,0.0,0.0
0.0,-0.0,-0.12343655,0.0,0.13863795,0.0,-0.19165072,0.0,-0.0,-0.0,0.0,-0.0,-0.1546721,0.0,-0.16241907,0.1443252,-0.13041915,-0.0,-0.0,-0.20365225,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.17755333,-0.0,0.0,-0.0,-0.0,-0.19652942,-0.0,0.0,-0.0,0.25312302,0.0,0.0,-0.0,0.0,0.15125135,0.0,-0.0,-0.0,-0.14324751,0.13082603,0.0,-0.0,0.0,-0.20466608,0.0,-0.0,-0.0,-0.12567878,0.0,0.1542866,-0.0,-0.13091181
0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.15351497,-0.0,0.0,0.24316907,-0.0,0.1486176,-0.0,-0.12361583,-0.18903115,-0.0,-0.0,0.13048834,-0.0,-0.29982325,0.0,0.0,-0.0,0.12617576,-0.14550887,-0.0,0.0,-0.17787714,-0.13084953,-0.0,-0.0,-0.13732211,-0.0,-0.0,-0.1401885,-0.0,-0.0,-0.0,-0.0,0.39418986,0.0,0.13855983,-0.0,-0.0,-0.0,0.0,-0.0,0.13926494,-0.0,0.0,0.0,0.0,0.1918196,0.0,-0.0,0.1554947,0.17666055,0.0,-0.0,-0.0,0.13710268,-0.0,0.0
0.0,0.0,0.0,0.0,-0.0,-0.15748996,-0.0,-0.0,-0.0,0.0,-0.26231965,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.15563604,0.0,0.16785987,-0.13662718,-0.0,0.0,0.0,-0.14123057,-0.0,-0.18344577,0.13008532,0.0,-0.0,0.0,-0.14390755,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.14296044,-0.16277878,0.0,-0.1775778,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.14810413,-0.0,-0.0,0.18027093,0.1560637,0.0,-0.119639836,0.20248781,0.0,0.0
-0.17391202,0.0,-0.16276813,-0.0,-0.0,0.0,0.0,-0.0,-0.14856596,-0.0,0.0,-0.31110287,-0.0,-0.19917761,-0.0,-0.16774306,-0.0,-0.0,-0.0,0.18133564,-0.0,-0.0,-0.0,-0.0,0.0,-0.13752793,0.0,-0.0,-0.0,-0.0,-0.0,-0.1449098,-0.149737,0.0,0.0,0.0,0.13754575,-0.1291278,0.0,-0.0,-0.15102142,0.0,-0.13916388,-0.0,0.0,0.0,0.0,0.12524316,-0.0,-0.21267135,-0.0,0.1293987,0.0,0.0,-0.0,0.0,0.14500287,-0.16474678,-0.0,0.13124877,-0.0,-0.0,-0.16211747,0.13216147
0.0,0.0,0.0,2.3802814,0.0,0.0,-0.0,-0.12056627,-0.0,0.0,-0.24219596,-0.2869828,-0.0,-0.0,0.15010357,-0.12743714,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.16701426,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.12572569,-0.23243742,0.0,-0.15847056,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.1625611,0.0,0.0,0.0,-0.0,-0.12494199,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.1713553,-0.20088984,0.0,-0.15727678,-0.0,0.0,-0.0,-0.0
-0.15151173,0.14895856,0.0,-0.27129108,0.0,-0.2834093,-0.0,0.0,-0.0,0.0,0.0,0.125216,0.13442068,-0.28462133,0.0,0.0,0.0,-0.18608023,0.16214877,-0.2571792,-0.1710603,0.0,0.12439328,-0.21579212,-0.0,-0.0,-0.20892772,-0.40336996,0.118341275,-0.0,-0.0,0.0,-0.17079265,-0.17937116,-0.24249141,-0.0,-0.20324051,0.0,-0.17652293,-0.21154115,-0.24704266,-0.2086528,-0.0,-0.14431015,0.0,0.0,0.13201167,-0.0,-0.30664703,-0.17556791,0.0,-0.142776,0.0,-0.0,-0.25770107,0.0,-0.0,-0.0,-0.13697468,-0.16818675,-0.12592083,0.0,0.15317068,-0.3037573
