0,1,2
-0.0,6.491103,0.0
-0.0,-0.0,0.0
0.0,-0.0,0.19556311
-0.0,-0.0,0.0
0.0,0.0,-0.62773186
-0.20474246,0.0,0.5377857
0.0,1.6651514,-0.3053262
-0.0,-0.0,0.116357386
-0.0,0.0,0.73571163
-0.07055533,0.0,-0.50308645
-0.0,-1.2382891,0.0
-0.0,-0.0,1.4389671
0.050667822,-0.0,-0.6351767
-0.7218467,1.4082196,0.0
-0.0,0.53130203,-0.08366182
0.0,-1.0982559,-0.0
-0.6799483,3.5776136,0.0
0.0,-2.914186,-0.0
1.9587455,0.0,-2.313188
0.0,0.87650734,-0.0
-0.0,-2.8118422,0.0
-0.0,2.4208598,0.0
0.0,1.8800584,-0.0
-0.0,-5.411806,0.0
0.23095997,-0.0,-0.22917934
-0.0,0.0,0.0
-0.27383763,0.0,-0.0
0.0,-1.5979071,-0.0
0.0,-0.0,2.0749536
-0.0,0.0,0.0
0.0,2.5885396,-0.0
-0.0,-0.0,0.0
0.0,-2.0353923,0.0
-0.0,-3.8068595,0.0
-0.0,1.9425662,0.0
0.0,-1.6329052,-0.0
-0.11105392,-0.0,-0.42874664
-0.0,-0.0,0.0
0.0,-0.07622962,-0.20065597
-0.04010154,0.0,0.13927062
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.40069178,-0.0,1.3714782
0.0,0.0,-0.0
-0.0,0.0,0.0
0.0,0.0,-0.0
-0.55407435,0.0,0.6485745
0.0,0.7609624,-0.0
-0.0,-0.0,0.37180796
0.0,-0.0,-0.21873745
